Customer,Program,City,County,Region,Allocation (kW),Jobs Committed,Date
Unifrax I LLC - Tonawanda,Replacement Power,Tonawanda,Erie,Western New York,1000,*,10/01/2023
Unifrax I LLC - Tonawanda,Replacement Power,Tonawanda,Erie,Western New York,2600,*,10/01/2023
Unifrax I LLC - Tonawanda,Replacement Power,Tonawanda,Erie,Western New York,1355,*,10/01/2023
Unifrax I LLC - Tonawanda,Replacement Power,Tonawanda,Erie,Western New York,1900,301,10/01/2023
"Upstate Niagara Cooperative, Inc.",Expansion Power,West Seneca,Erie,Western New York,1000,144,10/01/2023
"Upstate Niagara Cooperative, Inc.",Expansion Power,West Seneca,Erie,Western New York,600,*,10/01/2023
"Upstate Niagara Cooperative, Inc.",Preservation Power,North Lawrence,St. Lawrence,North Country,850,97,10/01/2023
"Upstate Niagara Cooperative, Inc.",Preservation Power,North Lawrence,St. Lawrence,North Country,1850,*,10/01/2023
"Upstate Niagara Cooperative, Inc.",Preservation Power,North Lawrence,St. Lawrence,North Country,350,*,10/01/2023
Washington Mills Electro Minerals Corp,Replacement Power,Niagara Falls,Niagara,Western New York,5250,53,10/01/2023
"Washington Mills Tonawanda, Inc.",Replacement Power,Tonawanda,Erie,Western New York,250,29,10/01/2023
"Welded Tube USA, Inc.",Expansion Power,Lackawanna,Erie,Western New York,250,*,10/01/2023
"Welded Tube USA, Inc.",Expansion Power,Lackawanna,Erie,Western New York,2870,89,10/01/2023
"Wells Enterprises, Inc.",Expansion Power,Dunkirk,Chautauqua,Western New York,2000,*,10/01/2023
"Wells Enterprises, Inc.",Expansion Power,Dunkirk,Chautauqua,Western New York,2000,546,10/01/2023
"Wells Enterprises, Inc.",Expansion Power,Dunkirk,Chautauqua,Western New York,1000,*,10/01/2023
"Western New York Energy, LLC",Replacement Power,Medina,Orleans,Finger Lakes,5000,*,10/01/2023
"Western New York Energy, LLC",Replacement Power,Medina,Orleans,Finger Lakes,330,*,10/01/2023
"Western New York Energy, LLC",Expansion Power,Medina,Orleans,Finger Lakes,700,57,10/01/2023
"WestRock CP, LLC",Expansion Power,North Tonawanda,Niagara,Western New York,300,128,10/01/2023
"WestRock CP, LLC",Expansion Power,North Tonawanda,Niagara,Western New York,900,*,10/01/2023
Worksport USA Operations Corporation,Replacement Power,West Seneca,Erie,Western New York,430,20,10/01/2023
